last_name, first_name,year,pitch_hand,n,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Chatwood, Tyler,2020,R,333,81.3,92.6,2583,13.5,13.5,80.3,2977,15.5,5.1,85.4,1803,14.8,
Castro, Miguel,2020,R,475,50.1,98.1,2345,19.6,31.1,86.8,2933,8,18.7,92.3,2123,18.8,
Castellanos, Humberto,2020,R,207,50.2,89.9,2010,15.8,35.7,80.6,2148,8.2,14.0,82.8,1356,14,
Castano, Daniel,2020,L,474,54.0,88.8,2200,13.2,25.7,79.4,2450,7.6,20.2,81.2,1727,18,
Bundy, Dylan,2020,R,1018,41.9,90.1,2407,19.9,36.7,77.9,2478,8.4,21.3,82.2,1665,15.7,
Brault, Steven,2020,L,746,50.6,92.1,2134,17.3,25.0,82.1,2379,7.6,24.2,85,1655,13.1,
Bleier, Richard,2020,L,218,70.1,88.7,1968,13.9,24.3,78.7,1920,5.9,5.5,82.8,1674,18,
Bedrosian, Cam,2020,R,241,52.6,92.2,2357,20.4,46.0,81.2,2536,8.9,1.2,84.9,1930,19.8,
Barria, Jaime,2020,R,511,43.0,92.1,2276,17.5,45.7,83.9,2235,6.8,11.1,84.2,1510,14.7,
Baez, Pedro,2020,R,306,42.1,94.4,2226,18.9,21.8,87.1,1683,5.9,35.9,86.8,1917,18.4,
Arrieta, Jake,2020,R,729,52.5,92,2097,18.4,30.4,87.1,2310,10,17.0,87.3,1694,16.8,
Alzolay, Adbert,2020,R,387,52.1,94.6,2364,19.2,39.7,81.5,2896,12.1,8.0,85.1,1701,17.7,
Anderson, Brett,2020,L,752,54.5,89.2,2015,17.2,21.5,79.2,2469,10.8,23.9,82.7,1629,17,
Yamaguchi, Shun,2020,R,501,40.9,90.8,2129,19.2,19.5,80.3,2329,8.8,39.5,84.8,1253,11.9,
Wisler, Matt,2020,R,453,16.5,91.9,2098,18.9,83.4,81.3,2549,11.6,,,,,
Watson, Tony,2020,L,280,41.0,89.5,2299,18.3,13.9,81.2,2338,3.8,45.0,83.9,2281,20.4,
Underwood Jr., Duane,2020,R,335,46.2,94.5,2141,16.9,25.3,81.6,2299,11.9,28.3,87.2,1592,15.4,
Tropeano, Nick,2020,R,242,30.1,90.9,2239,20.3,30.9,78.6,2268,3,38.8,81,1660,12.9,
Thielbar, Caleb,2020,L,371,58.2,89.1,2426,19,41.7,72.2,2535,18.9,,,,,
Stripling, Ross,2020,R,815,43.9,91.7,2276,19.1,38.7,81.4,2594,12.9,17.3,84.6,1700,14.6,
Staumont, Josh,2020,R,472,72.4,98,2390,19.1,27.5,82.1,2923,18.1,,,,,
Springs, Jeffrey,2020,L,405,46.9,92.1,2229,19.8,27.1,83,2177,4.9,25.9,81.5,1444,14.8,
Soroka, Mike,2020,R,199,59.2,92,2153,16,28.6,81.3,2636,6.7,12.0,80.3,2149,19.3,
Soria, Joakim,2020,R,377,66.0,92.4,2274,18.4,24.9,76.1,2732,17.8,9.0,87,1561,12.3,
Smith, Riley,2020,R,250,62.4,93.3,2283,16.5,36.0,82,2109,8,1.6,86.7,2018,18.8,
Smeltzer, Devin,2020,L,268,33.2,87.5,2397,19.1,29.8,75.9,2392,11.7,36.9,80.6,1855,13.3,
Slegers, Aaron,2020,R,387,62.0,91.2,1950,17.1,29.9,84.8,2095,5,8.0,85.9,1538,14.7,
Selman, Sam,2020,L,361,40.9,91.2,2475,16.2,59.0,80,2572,13.1,,,,,
Sanchez, Sixto,2020,R,559,47.7,97.6,2131,17.6,25.5,88,2399,7.4,26.6,89,1800,17.5,
Richards, Garrett,2020,R,788,54.6,95.2,2618,11.5,45.3,87.1,2960,7.4,,,,,
Ramirez, Erasmo,2020,R,195,82.5,89.4,2230,14.7,5.6,79.7,2414,6,11.7,83.8,1704,14.6,
Ponce, Cody,2020,R,265,68.3,91.9,2529,16,23.7,78.3,2270,13.6,7.9,84.6,1975,18,
Phillips, Evan,2020,R,284,66.1,94.5,2247,18.7,26.4,83.6,2429,16.3,7.3,85.9,1526,8.6,
Perez, Martin,2020,L,1033,64.8,90.4,2087,15.1,9.3,77.7,2521,7.9,25.7,83.7,1704,17.3,
Pena, Felix,2020,R,460,48.4,94.4,2200,20,30.4,84.7,2472,4.1,21.0,86.6,1892,18.3,
Paddack, Chris,2020,R,963,61.5,93.7,2169,18.5,7.3,76.9,2096,16.9,31.0,83.9,1790,15.7,
Nola, Aaron,2020,R,1148,45.9,92.3,2145,19.5,26.6,78.6,2499,18.3,27.3,84.9,1518,15,
Morejon, Adrian,2020,L,322,56.2,96.6,2404,17.6,26.3,82.9,2663,12.2,17.3,84.3,963,12.7,
Montas, Frankie,2020,R,914,62.0,95.7,2323,20,25.0,86.1,2499,6.6,12.9,86.4,1701,13.7,
Misiewicz, Anthony,2020,L,328,76.8,91.3,2418,12.4,23.1,81.9,2828,12,,,,,
Minter, A.J.,2020,L,397,81.3,91.5,2377,12.2,,,,,18.6,85.4,1651,16.2,
Milone, Tommy,2020,L,697,45.3,86.1,2190,20.6,15.6,78.3,2290,6.9,39.0,78.9,1702,17.2,
Mahle, Tyler,2020,R,852,54.9,93.9,2389,21.5,33.3,86.8,2634,5.9,11.7,87.4,1935,17.8,
Lorenzen, Michael,2020,R,608,58.2,95.4,2523,17.1,24.0,84.3,2504,11.2,17.7,86.7,2149,18.8,
Lopez, Reynaldo,2020,R,503,50.6,94.2,2138,18.5,28.6,82.1,2075,5.5,20.6,83.5,1714,16.1,
Lakins Sr., Travis,2020,R,470,74.4,91.9,2332,12.2,22.3,80.6,2727,16.6,3.1,87.5,1550,15.1,
King, Michael,2020,R,469,65.6,93.1,2265,18.6,19.4,80.9,2351,6.3,14.9,84.9,2004,18.4,
Kim, Kwang Hyun,2020,L,612,48.6,89.9,2163,15.6,42.8,79.7,2145,7.2,8.4,80.3,1597,17.5,
Jeffress, Jeremy,2020,R,340,42.9,93.2,2035,17.9,25.0,80.5,2399,10.1,32.0,88.7,1475,11.7,
James, Josh,2020,R,340,57.6,96.3,2307,17.7,28.5,85,2596,11.1,13.8,88.8,1546,16.1,
Hunter, Tommy,2020,R,410,76.8,91.7,2499,15.3,23.1,82.3,2873,14.5,,,,,
Hudson, Daniel,2020,R,362,75.1,96.4,2337,19.6,19.0,84.9,2475,4.4,5.8,88.1,2291,19.8,
Howard, Sam,2020,L,361,37.3,92,2431,20.5,62.3,84.6,2468,5.9,0.2,82.7,2294,20.5,
Hill, Tim,2020,L,348,89.9,90.6,2166,18.3,10.0,80.3,2031,4.7,,,,,
Harvey, Matt,2020,R,247,53.0,94,2139,17.8,37.2,84.9,2312,6.7,9.7,84.7,1658,15.8,
Hartlieb, Geoff,2020,R,409,53.7,93.6,2349,16.8,45.4,82.7,2238,12.5,0.7,87.7,2202,16.5,
Harper, Ryne,2020,R,407,37.5,88.4,1830,11,61.6,73.7,2255,14.7,0.7,79.6,1425,13.2,
Gott, Trevor,2020,R,217,64.5,95.5,2315,17.3,33.1,84.3,2279,13.5,2.3,90,1322,16.3,
Gonzales, Marco,2020,L,1057,69.6,87,2156,17,16.0,75.3,2294,16.3,14.2,80.6,2114,19.5,
