last_name, first_name,year,player_age,pitch_hand,n,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
May, Trevor,2019,30,R,1166,95.6,2347,16.3,81.6,2542,11.5,87.6,1988,17.5,
Matz, Steven,2019,28,L,2701,93.3,2102,19.2,84,2261,10.8,84.3,2301,17.1,
Maeda, Kenta,2019,31,R,2433,92.1,2282,17.1,82.3,2549,10.2,84.9,1517,13.5,
Lynn, Lance,2019,32,R,3435,93.2,2467,14.1,81.2,2352,12.6,86.9,1811,14.4,
Lopez, Reynaldo,2019,25,R,3161,95.4,2137,18.3,82.5,2109,5.4,84,1610,16.3,
Jimenez, Joe,2019,24,R,1056,95.1,2528,21,86.1,2329,7.2,89.2,2091,18.3,
Houser, Adrian,2019,26,R,1810,94.4,2167,16.5,83.9,2101,12.1,85.4,1553,14.3,
Greene, Shane,2019,31,R,949,90.6,2295,15.3,80.2,2593,17.3,85.4,1714,16.8,
Green, Chad,2019,28,R,1276,96.4,2463,19.1,87.6,2250,5.4,88.7,1983,13.6,
Gonzales, Marco,2019,27,L,3162,87.6,2250,16.7,76.3,2346,14.8,81.2,2171,19.7,
Gibson, Kyle,2019,32,R,2764,93.3,2139,17.5,82.6,2475,8.1,85.3,1660,14.6,
Foltynewicz, Mike,2019,28,R,1888,94.9,2211,18.3,83.9,2441,6.8,86.7,1876,17.7,
Flaherty, Jack,2019,24,R,3179,93.8,2178,15,82.8,2423,11.1,86.2,1700,13.6,
Estevez, Carlos,2019,27,R,1240,97.8,2247,16.1,87.7,2394,6.3,90.5,1717,13.6,
Detwiler, Ross,2019,33,L,1157,90.7,2190,15.9,78.8,2149,8.9,84.9,1644,13.1,
Darvish, Yu,2019,33,R,2846,90.5,2533,11.8,80.7,2690,17.1,88.1,1426,9.3,
Chacin, Jhoulys,2019,31,R,1945,89.9,2103,17.4,79.8,2358,13.7,82.8,1422,11.7,
Castillo, Diego,2019,25,R,1119,98.2,2117,19.2,88.7,2348,6.9,,,,
Bundy, Dylan,2019,27,R,2778,91.2,2433,19.8,79.2,2519,9.2,83.4,1569,15.1,
Buchholz, Clay,2019,35,R,963,87.1,2195,14.2,75.1,2707,17.8,76.6,1538,12.8,
Bauer, Trevor,2019,28,R,3686,91.7,2457,16,79.3,2626,20,86,1697,18.2,
Barlow, Scott,2019,27,R,1300,94.1,2284,14.4,82.2,2463,11.6,87.3,1593,15.1,
