,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,FIRSTNAME,LASTNAME
86,YasielY PuigPuig,CLE,--,419,59,110,24,2,19,61,30,103,16,6,0.263,0.317,0.465,0.7829999999999999,Yasiel,Puig
87,PaulP DeJongDeJong,STL,--,470,78,111,24,1,27,68,47,116,6,5,0.236,0.318,0.464,0.782,Paul,DeJong
88,AdamA FrazierFrazier,PIT,--,411,66,117,25,5,9,39,31,53,5,3,0.285,0.34600000000000003,0.436,0.7809999999999999,Adam,Frazier
89,EricE HosmerHosmer,SD,--,463,60,128,20,1,21,83,29,130,0,3,0.276,0.321,0.46,0.7809999999999999,Eric,Hosmer
90,CesarC HernandezHernandez,PHI,--,441,63,126,22,3,13,55,33,78,8,1,0.28600000000000003,0.342,0.438,0.78,Cesar,Hernandez
91,OzzieO AlbiesAlbies,ATL,--,491,73,131,34,7,13,53,48,92,12,4,0.267,0.334,0.444,0.778,Ozzie,Albies
92,RyanR McMahonMcMahon,COL,--,328,50,81,17,1,14,55,47,104,4,1,0.247,0.342,0.433,0.775,Ryan,McMahon
93,DexterD FowlerFowler,STL,--,379,54,93,21,1,15,54,56,115,8,5,0.245,0.35,0.425,0.775,Dexter,Fowler
94,JoseJ AbreuAbreu,CWS,--,470,58,121,27,1,24,92,24,121,2,1,0.257,0.299,0.472,0.772,Jose,Abreu
95,BrandonB BeltBelt,SF,--,393,61,95,25,3,14,45,60,87,4,3,0.242,0.341,0.4270000000000001,0.769,Brandon,Belt
96,TommyT PhamPham,TB,--,408,50,101,20,2,18,56,44,88,17,2,0.248,0.326,0.439,0.765,Tommy,Pham
97,AndrewA BenintendiBenintendi,BOS,--,381,52,101,28,5,8,41,38,97,10,2,0.265,0.336,0.428,0.764,Andrew,Benintendi
98,ColinC MoranMoran,PIT,--,389,40,108,26,1,11,69,29,99,0,0,0.278,0.329,0.434,0.764,Colin,Moran
99,0RhysR HoskinsHoskins1,PHI,--,432,59,93,24,4,20,58,71,135,1,2,0.215,0.335,0.428,0.764,0Rhys,Hoskins
100,AlexA GordonGordon,KC,--,403,60,110,23,1,10,54,38,69,3,3,0.273,0.35,0.409,0.76,Alex,Gordon
101,JasonJ KipnisKipnis,CLE,--,303,35,74,17,1,14,50,31,62,7,2,0.244,0.311,0.446,0.7559999999999999,Jason,Kipnis
102,DomingoD SantanaSantana,SEA,--,329,42,85,15,1,13,50,30,116,6,1,0.258,0.322,0.429,0.7509999999999999,Domingo,Santana
103,ChristianC VázquezVazque,BOS,--,324,36,88,16,1,12,44,20,75,2,2,0.272,0.312,0.438,0.75,Christian,Vázque
104,VictorV RoblesRobles,WSH,--,409,65,105,24,2,14,52,27,108,16,5,0.257,0.319,0.428,0.746,Victor,Robles
105,FreddyF GalvisGalvis,CIN,--,377,51,94,15,1,19,51,25,107,2,2,0.249,0.29600000000000004,0.446,0.742,Freddy,Galvis
106,JoseJ IglesiasIglesias,CIN,--,382,46,112,19,2,8,46,14,56,6,4,0.293,0.32,0.416,0.736,Jose,Iglesias
107,DansbyD SwansonSwanson,ATL,--,384,61,92,24,2,13,49,42,105,8,3,0.24,0.32,0.414,0.7340000000000001,Dansby,Swanson
108,DavidD FletcherFletcher,LAA,--,415,50,123,21,3,3,37,34,53,7,2,0.29600000000000004,0.35,0.383,0.733,David,Fletcher
109,RenatoR NúñezNunez,BAL,--,341,38,78,15,0,18,52,30,99,1,1,0.229,0.302,0.431,0.733,Renato,Núñez
110,AdamA JonesJones,ARI,--,328,45,85,14,0,12,45,21,68,2,1,0.259,0.317,0.412,0.728,Adam,Jones
111,EvanE LongoriaLongoria,SF,--,313,41,75,12,1,14,45,25,85,2,1,0.24,0.303,0.419,0.721,Evan,Longoria
112,RandalR GrichukGrichuk,TOR,--,398,51,89,20,2,22,54,19,117,1,1,0.224,0.265,0.45,0.715,Randal,Grichuk
113,MannyM MachadoMachado,SD,--,460,62,110,15,1,19,58,47,102,3,1,0.239,0.315,0.4,0.715,Manny,Machado
114,WilsonW RamosRamo,NYM,--,366,36,99,15,0,9,53,29,54,1,0,0.27,0.329,0.385,0.7140000000000001,Wilson,Ramo
115,AmedA RosarioRosario,NYM,--,468,46,131,18,6,9,54,19,92,16,8,0.28,0.311,0.402,0.713,Amed,Rosario
116,JoshJ ReddickReddick,HOU,--,391,40,104,14,3,9,46,30,48,4,2,0.266,0.312,0.386,0.698,Josh,Reddick
117,ElvisE AndrusAndrus,TEX,--,418,56,115,18,2,8,50,22,66,22,7,0.275,0.311,0.385,0.696,Elvis,Andrus
