,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,FIRSTNAME,LASTNAME
44,AmedA RosarioRosario,NYM,--,148,29,46,12,1,6,18,12,32,3,2,0.311,0.36,0.527,0.887,Amed,Rosario
45,EduardoE EscobarEscobar,ARI,--,191,30,57,12,2,11,35,8,35,1,0,0.298,0.327,0.555,0.882,Eduardo,Escobar
46,FranmilF ReyesReyes,CLE,--,125,20,35,9,0,7,23,17,39,0,0,0.28,0.361,0.52,0.8809999999999999,Franmil,Reyes
47,StarlinS CastroCastro,MIA,--,164,20,53,7,0,9,21,8,28,0,0,0.32299999999999995,0.35100000000000003,0.53,0.8809999999999999,Starlin,Castro
48,MaxM KeplerKepler,MIN,--,147,21,43,7,0,9,36,13,24,0,1,0.293,0.35600000000000004,0.524,0.88,Max,Kepler
49,MikeM MoustakasMoustakas,MIL,--,163,22,45,9,0,11,27,13,27,0,0,0.276,0.343,0.534,0.8759999999999999,Mike,Moustakas
50,JorgeJ SolerSoler,KC,--,143,24,37,8,1,9,30,19,45,2,0,0.259,0.35200000000000004,0.517,0.8690000000000001,Jorge,Soler
51,DannyD SantanaSantana,TEX,--,145,26,40,8,1,9,27,10,51,6,2,0.276,0.325,0.531,0.856,Danny,Santana
52,EvanE LongoriaLongoria,SF,--,140,18,40,7,1,6,24,18,27,1,0,0.28600000000000003,0.373,0.479,0.851,Evan,Longoria
53,JuanJ SotoSoto,WSH,--,186,28,53,12,3,6,33,28,43,3,0,0.285,0.371,0.478,0.85,Juan,Soto
54,MattM ChapmanChapman,OAK,--,154,29,36,8,1,11,25,23,35,0,0,0.234,0.335,0.513,0.848,Matt,Chapman
55,J.T.J RealmutoRealmut,PHI,--,145,26,40,12,0,8,22,9,34,4,0,0.276,0.32299999999999995,0.524,0.847,J.T.,Realmut
56,YoanY MoncadaMoncada,CWS,--,154,19,46,15,2,4,25,9,49,3,2,0.299,0.345,0.5,0.846,Yoan,Moncada
57,TimT AndersonAnderson,CWS,--,144,28,47,9,0,5,17,6,28,4,1,0.326,0.35100000000000003,0.493,0.8440000000000001,Tim,Anderson
58,JoshJ DonaldsonDonaldson,ATL,--,121,23,26,7,0,7,15,32,42,1,0,0.215,0.395,0.446,0.841,Josh,Donaldson
59,MookieM BettsBetts,BOS,--,166,37,45,13,0,6,13,30,22,1,0,0.271,0.381,0.458,0.838,Mookie,Betts
60,AustinA MeadowsMeadows,TB,--,167,17,46,8,3,9,32,9,53,2,2,0.275,0.316,0.521,0.8370000000000001,Austin,Meadows
61,RenatoR NúñezNunez,BAL,--,200,34,54,9,0,13,38,14,44,0,0,0.27,0.326,0.51,0.836,Renato,Núñez
62,JoshJ ReddickReddick,HOU,--,110,17,34,5,0,5,10,6,18,1,0,0.309,0.345,0.491,0.836,Josh,Reddick
63,JuricksonJ ProfarProfar,OAK,--,105,19,32,7,0,3,17,13,17,2,0,0.305,0.378,0.457,0.835,Jurickson,Profar
64,AlbertA PujolsPujols,LAA,--,165,20,43,9,0,11,37,14,22,1,0,0.261,0.315,0.515,0.83,Albert,Pujols
65,JeffJ McNeilMcNeil,NYM,--,141,17,44,10,0,3,16,9,20,3,2,0.312,0.378,0.447,0.825,Jeff,McNeil
66,KevinK PillarPillar,SF,--,162,22,45,12,0,9,29,8,15,4,3,0.278,0.305,0.519,0.823,Kevin,Pillar
67,DomingoD SantanaSantana,SEA,--,122,21,29,5,0,8,19,20,48,2,2,0.238,0.345,0.475,0.82,Domingo,Santana
68,RougnedR OdorOdor,TEX,--,165,27,39,14,0,9,32,21,57,4,2,0.236,0.33,0.485,0.815,Rougned,Odor
69,WhitW MerrifieldMerrifield,KC,--,193,34,54,14,1,8,28,14,32,10,2,0.28,0.327,0.487,0.8140000000000001,Whit,Merrifield
70,TreaT TurnerTurner,WSH,--,117,21,37,9,0,2,6,10,23,8,1,0.316,0.3670000000000001,0.444,0.812,Trea,Turner
71,AnthonyA RizzoRizzo,CHC,--,124,19,31,5,0,6,30,15,20,1,1,0.25,0.371,0.435,0.8059999999999999,Anthony,Rizzo
72,DansbyD SwansonSwanson,ATL,--,99,16,29,2,1,4,16,9,19,2,2,0.293,0.349,0.455,0.8029999999999999,Dansby,Swanson
73,YuliY GurrielGurriel,HOU,--,158,23,38,15,1,7,23,18,12,2,1,0.241,0.322,0.481,0.8029999999999999,Yuli,Gurriel
74,AndrewA BenintendiBenintendi,BOS,--,160,20,43,12,0,5,27,21,43,0,1,0.269,0.358,0.438,0.7959999999999999,Andrew,Benintendi
75,YasielY PuigPuig,CLE,--,136,17,38,6,0,5,23,14,30,3,1,0.279,0.35700000000000004,0.434,0.7909999999999999,Yasiel,Puig
76,LukeL VoitVoit,NYY,--,108,15,27,5,0,5,13,16,33,0,0,0.25,0.354,0.435,0.79,Luke,Voit
77,ChristianC WalkerWalker,ARI,--,145,23,35,8,0,6,14,28,40,1,0,0.241,0.368,0.421,0.7879999999999999,Christian,Walker
78,JoseJ RamírezRamirez,CLE,--,156,23,42,9,0,7,24,15,14,7,0,0.269,0.326,0.462,0.787,Jose,Ramírez
79,AdamA EatonEaton,WSH,--,138,27,40,7,3,2,10,12,28,4,2,0.29,0.359,0.428,0.787,Adam,Eaton
80,LeuryL GarcíaGarcia,CWS,--,183,30,57,13,1,3,14,6,34,4,0,0.311,0.344,0.443,0.7859999999999999,Leury,García
81,RyanR McMahonMcMahon,COL,--,152,20,39,5,0,10,28,9,56,1,0,0.257,0.298,0.487,0.785,Ryan,McMahon
82,RandalR GrichukGrichuk,TOR,--,188,24,47,9,3,9,26,16,46,1,0,0.25,0.311,0.473,0.784,Randal,Grichuk
83,EloyE JiménezJimenez,CWS,--,135,21,35,6,0,7,20,11,45,0,0,0.259,0.322,0.459,0.7809999999999999,Eloy,Jiménez
84,AvisailA GarcíaGarcia,TB,--,162,22,43,7,1,7,19,14,40,0,1,0.265,0.328,0.451,0.778,Avisail,García
85,FranciscoF LindorLindor,CLE,--,198,38,51,11,0,8,24,23,32,8,1,0.258,0.341,0.434,0.775,Francisco,Lindor
86,StarlingS MarteMarte,PIT,--,134,18,36,8,2,6,16,2,28,7,2,0.269,0.281,0.493,0.773,Starling,Marte
87,AsdrubalA CabreraCabrera,WSH,--,117,13,31,8,0,3,23,19,20,1,0,0.265,0.35700000000000004,0.41,0.767,Asdrubal,Cabrera
88,MattM OlsonOlson,OAK,--,157,22,35,7,0,11,27,9,41,0,0,0.223,0.289,0.478,0.767,Matt,Olson
89,EddieE RosarioRosario,MIN,--,153,21,43,11,0,5,27,8,23,0,0,0.281,0.315,0.451,0.7659999999999999,Eddie,Rosario
90,JoshJ BellBell,PIT,--,143,18,32,5,0,9,25,17,42,0,1,0.224,0.313,0.448,0.7609999999999999,Josh,Bell
91,KyleK SchwarberSchwarber,CHC,--,109,17,25,4,1,6,18,11,36,0,0,0.229,0.306,0.45,0.7559999999999999,Kyle,Schwarber
92,BryanB ReynoldsReynolds,PIT,--,144,20,38,10,0,5,17,9,36,0,0,0.264,0.318,0.438,0.7559999999999999,Bryan,Reynolds
93,MiguelM RojasRojas,MIA,--,138,13,41,6,0,3,14,10,11,0,2,0.297,0.34700000000000003,0.406,0.752,Miguel,Rojas
94,MarcellM OzunaOzuna,STL,--,83,14,18,4,0,6,20,6,24,0,0,0.217,0.27,0.482,0.752,Marcell,Ozuna
95,FreddieF FreemanFreeman,ATL,--,161,30,41,6,0,8,24,11,44,0,0,0.255,0.309,0.441,0.75,Freddie,Freeman
96,LorenzoL CainCain,MIL,--,159,26,42,7,0,6,14,16,30,9,1,0.264,0.326,0.421,0.747,Lorenzo,Cain
97,RafaelR DeversDevers,BOS,--,208,37,56,15,0,7,29,6,42,0,1,0.269,0.301,0.442,0.7440000000000001,Rafael,Devers
98,JonathanJ VillarVillar,BAL,--,227,30,60,9,1,9,25,16,66,9,5,0.264,0.31,0.4320000000000001,0.742,Jonathan,Villar
99,0VictorV RoblesRoblesC,WSH,--,137,21,34,9,1,3,13,8,32,12,4,0.248,0.34600000000000003,0.394,0.74,0Victor,Robles
100,MichaelM BrantleyBrantley,HOU,--,163,17,46,8,0,3,22,15,27,1,2,0.282,0.353,0.387,0.74,Michael,Brantley
101,KoltenK WongWong,STL,--,111,11,32,4,0,3,11,5,18,4,0,0.28800000000000003,0.333,0.405,0.7390000000000001,Kolten,Wong
102,BrianB AndersonAnderson,MIA,--,112,8,26,5,0,6,12,6,30,0,0,0.232,0.301,0.438,0.738,Brian,Anderson
103,YolmerY SánchezSanchez,CWS,--,120,14,35,7,1,1,10,10,24,1,1,0.292,0.34600000000000003,0.392,0.738,Yolmer,Sánchez
104,DavidD FletcherFletcher,LAA,--,181,33,50,9,1,3,12,21,11,1,1,0.276,0.35,0.387,0.736,David,Fletcher
105,KoleK CalhounCalhoun,LAA,--,165,23,35,5,0,10,27,23,44,1,0,0.212,0.312,0.424,0.736,Kole,Calhoun
106,ElvisE AndrusAndrus,TEX,--,182,25,50,9,2,4,22,12,30,9,1,0.275,0.318,0.412,0.73,Elvis,Andrus
107,KevinK NewmanNewman,PIT,--,126,21,36,5,2,1,5,9,12,2,3,0.28600000000000003,0.348,0.381,0.7290000000000001,Kevin,Newman
108,JorgeJ PolancoPolanco,MIN,--,196,25,53,10,1,6,24,10,43,1,1,0.27,0.305,0.423,0.728,Jorge,Polanco
109,AdamA JonesJones,ARI,--,157,21,41,11,1,4,22,10,33,0,0,0.261,0.306,0.42,0.726,Adam,Jones
110,FreddyF GalvisGalvis,CIN,--,180,16,51,13,0,4,19,3,38,2,0,0.28300000000000003,0.295,0.422,0.7170000000000001,Freddy,Galvis
111,CoreyC SeagerSeager,LAD,--,167,19,40,8,0,6,24,14,44,0,0,0.24,0.308,0.395,0.703,Corey,Seager
112,MichaelM ConfortoConforto,NYM,--,174,17,42,7,0,6,26,15,50,1,1,0.241,0.316,0.385,0.701,Michael,Conforto
113,AlexA GordonGordon,KC,--,153,17,38,8,0,3,22,13,31,2,0,0.248,0.331,0.359,0.691,Alex,Gordon
114,JoseJ IglesiasIglesias,CIN,--,122,16,33,2,1,3,13,6,14,0,2,0.27,0.31,0.377,0.687,Jose,Iglesias
115,ColinC MoranMoran,PIT,--,77,6,21,4,0,2,11,1,18,0,1,0.273,0.282,0.403,0.685,Colin,Moran
116,MallexM SmithSmith,SEA,--,148,27,39,5,2,1,8,14,37,19,5,0.264,0.339,0.345,0.684,Mallex,Smith
117,OrlandoO ArciaArcia,MIL,--,121,15,29,3,1,4,10,11,24,1,2,0.24,0.304,0.38,0.684,Orlando,Arcia
118,DexterD FowlerFowler,STL,--,108,15,23,3,0,4,13,18,27,0,0,0.213,0.331,0.35200000000000004,0.6829999999999999,Dexter,Fowler
119,Shin-SooS ChooChoo,TEX,--,166,26,38,4,0,6,19,14,53,4,0,0.229,0.317,0.361,0.679,Shin-Soo,Choo
120,PaulP DeJongDeJong,STL,--,113,19,25,7,0,3,10,15,33,3,0,0.221,0.315,0.363,0.6779999999999999,Paul,DeJong
121,AdamA FrazierFrazier,PIT,--,143,14,37,8,2,1,11,9,22,0,2,0.259,0.307,0.364,0.6709999999999999,Adam,Frazier
122,BrandonB BeltBelt,SF,--,133,15,28,7,0,3,12,23,40,0,0,0.211,0.333,0.331,0.664,Brandon,Belt
123,JoeyJ VottoVotto,CIN,--,152,16,37,7,0,1,10,22,44,2,0,0.243,0.34700000000000003,0.309,0.6559999999999999,Joey,Votto
124,BrettB GardnerGardner,NYY,--,132,19,28,6,1,5,17,9,32,0,1,0.212,0.268,0.386,0.654,Brett,Gardner
125,VladimirV Guerrero Jr.Guerrero Jr.,TOR,--,130,17,28,5,0,4,15,15,23,0,0,0.215,0.297,0.34600000000000003,0.643,Vladimir,Guer
126,CesarC HernandezHernandez,PHI,--,171,14,45,9,0,1,16,12,22,1,1,0.263,0.308,0.333,0.6409999999999999,Cesar,Hernandez
127,JackieJ Bradley Jr.Bradley Jr.,BOS,--,164,19,35,8,0,4,16,16,56,3,1,0.213,0.305,0.335,0.64,Jackie,Bra
128,JasonJ KipnisKipnis,CLE,--,155,17,38,6,0,3,15,9,26,0,0,0.245,0.29100000000000004,0.342,0.633,Jason,Kipnis
129,DanielD VogelbachVogelbach,SEA,--,124,18,20,4,0,5,17,20,40,0,0,0.161,0.28800000000000003,0.315,0.602,Daniel,Vogelbach
130,EricE HosmerHosmer,SD,--,156,12,36,9,1,1,16,11,33,0,0,0.231,0.28,0.321,0.6,Eric,Hosmer
131,BrandonB CrawfordCrawford,SF,--,140,14,33,7,1,1,9,7,28,1,1,0.236,0.277,0.321,0.598,Brandon,Crawford
132,WillyW AdamesAdames,TB,--,182,18,33,5,0,8,15,13,55,1,1,0.181,0.235,0.341,0.575,Willy,Adames
133,JasonJ HeywardHeyward,CHC,--,112,9,23,4,0,2,11,8,29,0,0,0.205,0.258,0.295,0.5529999999999999,Jason,Heyward
134,JocJ PedersonPederson,LAD,--,49,6,11,2,0,0,1,1,15,0,0,0.224,0.24,0.265,0.505,Joc,Pederson
