,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
51,WillyW AdamesAdames,TB,54,185,29,48,15,1,8,23,20,74,2,1,0.259,0.332,0.481,0.813
52,BrianB AndersonAnderson,MIA,59,200,27,51,7,1,11,38,22,66,0,0,0.255,0.345,0.465,0.81
53,JesusJ AguilarAguilar,MIA,51,188,31,52,10,0,8,34,23,40,0,1,0.277,0.35200000000000004,0.457,0.809
54,DansbyD SwansonSwanson,ATL,60,237,49,65,15,0,10,35,22,71,5,0,0.274,0.345,0.464,0.809
55,TrentT GrishamGrisham,SD,59,215,42,54,8,3,10,26,31,64,10,1,0.251,0.35200000000000004,0.456,0.8079999999999999
56,CavanC BiggioBiggio,TOR,59,220,41,55,16,0,8,28,41,61,6,0,0.25,0.375,0.4320000000000001,0.807
57,CharlieC BlackmonBlackmon,COL,59,221,31,67,12,1,6,42,19,44,2,1,0.303,0.35600000000000004,0.448,0.804
58,DavidD FletcherFletcher,LAA,49,207,31,66,13,0,3,18,20,25,2,1,0.319,0.376,0.425,0.8009999999999999
59,ChristianC VázquezVazque,BOS,47,173,22,49,9,0,7,23,16,43,4,3,0.28300000000000003,0.344,0.457,0.8009999999999999
60,KyleK LewisLewis,SEA,58,206,37,54,3,0,11,28,34,71,5,1,0.262,0.364,0.4370000000000001,0.8
61,JoeyJ VottoVotto,CIN,54,186,32,42,8,0,11,22,37,43,0,0,0.226,0.354,0.446,0.8
62,KevinK PillarPillar,COL,54,208,34,60,12,3,6,26,13,41,5,2,0.28800000000000003,0.336,0.462,0.7979999999999999
63,ColinC MoranMoran,PIT,52,178,28,44,10,0,10,23,19,52,0,0,0.247,0.325,0.472,0.797
64,MarkM CanhaCanha,OAK,59,191,32,47,12,2,5,33,37,54,4,0,0.246,0.387,0.408,0.795
65,FranmilF ReyesReyes,CLE,59,211,27,58,10,0,9,34,24,69,0,0,0.275,0.344,0.45,0.795
66,AaronA HicksHicks,NYY,54,169,28,38,10,2,6,21,41,38,4,1,0.225,0.379,0.414,0.7929999999999999
67,RafaelR DeversDevers,BOS,57,232,32,61,16,1,11,43,13,67,0,0,0.263,0.31,0.483,0.7929999999999999
68,RandalR GrichukGrichuk,TOR,55,216,38,59,9,0,12,35,13,49,1,1,0.273,0.312,0.481,0.7929999999999999
69,EddieE RosarioRosario,MIN,57,210,31,54,7,0,13,42,19,34,3,1,0.257,0.316,0.476,0.792
70,ChristianC WalkerWalker,ARI,57,218,35,59,18,1,7,34,19,50,1,1,0.271,0.333,0.459,0.792
71,BrandonB CrawfordCrawford,SF,54,172,26,44,12,0,8,28,15,47,1,2,0.256,0.326,0.465,0.792
72,VladimirV Guerrero Jr.Guerrero Jr.,TOR,60,221,34,58,13,2,9,33,20,38,1,0,0.262,0.329,0.462,0.7909999999999999
73,CodyC BellingerBellinger,LAD,56,213,33,51,10,0,12,30,30,42,6,1,0.239,0.333,0.455,0.789
74,KyleK SeagerSeager,SEA,60,203,35,49,12,0,9,40,32,33,5,0,0.241,0.355,0.433,0.7879999999999999
