,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
17,43JakeJ CronenworthCronenworth2B43‌‌‌,SD,54,172,26,49,15,3,4,20,18,30,3,1,0.285,0.354,0.47700000000000004,0.831
18,44WilmerW FloresFloresDH44‌‌‌,SF,55,198,30,53,11,1,12,32,13,36,1,0,0.268,0.315,0.515,0.83
19,45DonovanD SolanoSolano2B45‌‌‌,SF,54,190,22,62,15,1,3,29,10,39,0,0,0.326,0.365,0.46299999999999997,0.828
20,46DidiD GregoriusGregoriusSS46‌‌‌,PHI,60,215,34,61,10,2,10,40,15,28,3,2,0.284,0.33899999999999997,0.488,0.8270000000000001
21,47RobbieR GrossmanGrossmanLF47‌‌‌,OAK,51,166,23,40,12,2,8,23,21,38,8,1,0.24100000000000002,0.344,0.48200000000000004,0.826
22,48TommyT La StellaLa Stella2B48‌‌‌,OAK,55,196,31,55,14,2,5,25,27,12,1,0,0.281,0.37,0.449,0.8190000000000001
23,49PeteP AlonsoAlonso1B49‌‌‌,NYM,57,208,31,48,6,0,16,35,24,61,1,0,0.231,0.326,0.49,0.8170000000000001
24,50RenatoR NúñezNunez1B50‌‌‌,BAL,52,195,29,50,10,0,12,31,17,64,0,0,0.256,0.324,0.49200000000000005,0.816
0,51JackieJ Bradley Jr.Bradley Jr.CF51‌‌‌,BOS,55,191,32,54,11,0,7,22,23,48,5,2,0.28300000000000003,0.364,0.45,0.8140000000000001
1,52WillyW AdamesAdamesSS52‌‌‌,TB,54,185,29,48,15,1,8,23,20,74,2,1,0.259,0.332,0.48100000000000004,0.813
2,53BrianB AndersonAnderson3B53‌‌‌,MIA,59,200,27,51,7,1,11,38,22,66,0,0,0.255,0.345,0.465,0.81
3,54JesusJ AguilarAguilar1B54‌‌‌,MIA,51,188,31,52,10,0,8,34,23,40,0,1,0.27699999999999997,0.35200000000000004,0.457,0.809
