,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
17,43ChristianC VázquezVazquezC43‌‌‌,BOS,--,158,30,45,10,0,11,28,13,26,2,0,0.285,0.337,0.557,0.894
18,44MaxM MuncyMuncy1B44‌‌‌,LAD,--,157,30,42,6,1,11,38,19,52,2,1,0.268,0.365,0.529,0.893
19,45AmedA RosarioRosarioSS45‌‌‌,NYM,--,148,29,46,12,1,6,18,12,32,3,2,0.311,0.36,0.527,0.887
20,46EduardoE EscobarEscobar3B46‌‌‌,ARI,--,191,30,57,12,2,11,35,8,35,1,0,0.298,0.327,0.555,0.882
21,47FranmilF ReyesReyesRF47‌‌‌,CLE,--,125,20,35,9,0,7,23,17,39,0,0,0.28,0.361,0.52,0.8809999999999999
22,48StarlinS CastroCastro2B48‌‌‌,MIA,--,164,20,53,7,0,9,21,8,28,0,0,0.32299999999999995,0.35100000000000003,0.53,0.8809999999999999
23,49MaxM KeplerKeplerRF49‌‌‌,MIN,--,147,21,43,7,0,9,36,13,24,0,1,0.293,0.35600000000000004,0.524,0.88
24,50MikeM MoustakasMoustakas2B50‌‌‌,MIL,--,163,22,45,9,0,11,27,13,27,0,0,0.276,0.34299999999999997,0.534,0.8759999999999999
0,51JorgeJ SolerSolerRF51‌‌‌,KC,--,143,24,37,8,1,9,30,19,45,2,0,0.259,0.35200000000000004,0.517,0.8690000000000001
1,52DannyD SantanaSantanaOF52‌‌‌,TEX,--,145,26,40,8,1,9,27,10,51,6,2,0.276,0.325,0.531,0.856
2,53EvanE LongoriaLongoria3B53‌‌‌,SF,--,140,18,40,7,1,6,24,18,27,1,0,0.28600000000000003,0.373,0.479,0.851
3,54JuanJ SotoSotoLF54‌‌‌,WSH,--,186,28,53,12,3,6,33,28,43,3,0,0.285,0.371,0.478,0.85
4,55MattM ChapmanChapman3B55‌‌‌,OAK,--,154,29,36,8,1,11,25,23,35,0,0,0.23399999999999999,0.335,0.513,0.848
5,56J.T.J RealmutoRealmutoC56‌‌‌,PHI,--,145,26,40,12,0,8,22,9,34,4,0,0.276,0.32299999999999995,0.524,0.847
6,57YoanY MoncadaMoncada3B57‌‌‌,CWS,--,154,19,46,15,2,4,25,9,49,3,2,0.299,0.345,0.5,0.846
7,58TimT AndersonAndersonSS58‌‌‌,CWS,--,144,28,47,9,0,5,17,6,28,4,1,0.326,0.35100000000000003,0.493,0.8440000000000001
8,59JoshJ DonaldsonDonaldson3B59‌‌‌,ATL,--,121,23,26,7,0,7,15,32,42,1,0,0.215,0.395,0.446,0.841
9,60MookieM BettsBettsRF60‌‌‌,BOS,--,166,37,45,13,0,6,13,30,22,1,0,0.271,0.381,0.45799999999999996,0.838
10,61AustinA MeadowsMeadowsRF61‌‌‌,TB,--,167,17,46,8,3,9,32,9,53,2,2,0.275,0.316,0.521,0.8370000000000001
11,62RenatoR NúñezNunez3B62‌‌‌,BAL,--,200,34,54,9,0,13,38,14,44,0,0,0.27,0.326,0.51,0.836
12,63JoshJ ReddickReddickRF63‌‌‌,HOU,--,110,17,34,5,0,5,10,6,18,1,0,0.309,0.345,0.491,0.836
